Date,Bin,cab_type,surge_multiplier
2018-11-26,10AM - 3PM,Lyft,1.0298729386320626
2018-11-26,10AM - 3PM,Uber,1.0
2018-11-26,10PM - 6AM,Lyft,1.0260572760572761
2018-11-26,10PM - 6AM,Uber,1.0
2018-11-26,3PM - 7PM,Lyft,1.0263201320132014
2018-11-26,3PM - 7PM,Uber,1.0
2018-11-26,6AM - 10AM,Lyft,1.0318783717508582
2018-11-26,6AM - 10AM,Uber,1.0
2018-11-26,7PM - 10PM,Lyft,1.0305069537909377
2018-11-26,7PM - 10PM,Uber,1.0
2018-11-27,10AM - 3PM,Lyft,1.032375396139441
2018-11-27,10AM - 3PM,Uber,1.0
2018-11-27,10PM - 6AM,Lyft,1.0312796822381487
2018-11-27,10PM - 6AM,Uber,1.0
2018-11-27,3PM - 7PM,Lyft,1.0279531109107305
2018-11-27,3PM - 7PM,Uber,1.0
2018-11-27,6AM - 10AM,Lyft,1.0338889906576296
2018-11-27,6AM - 10AM,Uber,1.0
2018-11-27,7PM - 10PM,Lyft,1.0375473036896878
2018-11-27,7PM - 10PM,Uber,1.0
2018-11-28,10AM - 3PM,Lyft,1.0318804198995892
2018-11-28,10AM - 3PM,Uber,1.0
2018-11-28,10PM - 6AM,Lyft,1.0344234079173837
2018-11-28,10PM - 6AM,Uber,1.0
2018-11-28,3PM - 7PM,Lyft,1.0329762303314363
2018-11-28,3PM - 7PM,Uber,1.0
2018-11-28,6AM - 10AM,Lyft,1.031336661120355
2018-11-28,6AM - 10AM,Uber,1.0
2018-11-28,7PM - 10PM,Lyft,1.0285195471053195
2018-11-28,7PM - 10PM,Uber,1.0
2018-11-29,10AM - 3PM,Lyft,1.0305413313825895
2018-11-29,10AM - 3PM,Uber,1.0
2018-11-29,10PM - 6AM,Lyft,1.0323518016272764
2018-11-29,10PM - 6AM,Uber,1.0
2018-11-29,3PM - 7PM,Lyft,1.031459987782529
2018-11-29,3PM - 7PM,Uber,1.0
2018-11-29,6AM - 10AM,Lyft,1.0319254835039817
2018-11-29,6AM - 10AM,Uber,1.0
2018-11-29,7PM - 10PM,Lyft,1.0287453183520598
2018-11-29,7PM - 10PM,Uber,1.0
2018-11-30,10AM - 3PM,Lyft,1.0363788167938932
2018-11-30,10AM - 3PM,Uber,1.0
2018-11-30,10PM - 6AM,Lyft,1.0295479092732602
2018-11-30,10PM - 6AM,Uber,1.0
2018-11-30,3PM - 7PM,Lyft,1.0315679233991621
2018-11-30,3PM - 7PM,Uber,1.0
