,date,time_of_ride,location,lyft_surge,uber_surge,avg_temp,avg_rain,avg_wind
0,2018-11-26,10AM - 3PM,Back Bay,1.04,1.0,41.182,0.008,2.72
1,2018-11-26,10AM - 3PM,Beacon Hill,1.02,1.0,41.151,0.004,2.746
2,2018-11-26,10AM - 3PM,Boston University,1.02,1.0,41.036,0.01,2.675
3,2018-11-26,10AM - 3PM,Fenway,1.02,1.0,41.053,0.016,2.654
4,2018-11-26,10AM - 3PM,Financial District,1.01,1.0,41.126,0.004,2.758
5,2018-11-26,10AM - 3PM,Haymarket Square,1.05,1.0,41.226,0.004,2.778
6,2018-11-26,10AM - 3PM,North End,1.04,1.0,41.262,0.004,2.788
7,2018-11-26,10AM - 3PM,North Station,1.03,1.0,41.188,0.004,2.778
8,2018-11-26,10AM - 3PM,Northeastern University,1.04,1.0,41.135,0.009,2.661
9,2018-11-26,10AM - 3PM,South Station,1.03,1.0,41.134,0.004,2.746
10,2018-11-26,10AM - 3PM,Theatre District,1.02,1.0,41.195,0.004,2.732
11,2018-11-26,10AM - 3PM,West End,1.03,1.0,41.139,0.004,2.765
12,2018-11-26,10PM - 6AM,Back Bay,1.01,1.0,41.957,0.038,4.663
13,2018-11-26,10PM - 6AM,Beacon Hill,1.03,1.0,41.946,0.039,4.665
14,2018-11-26,10PM - 6AM,Boston University,1.03,1.0,41.917,0.04,4.548
15,2018-11-26,10PM - 6AM,Fenway,1.03,1.0,41.777,0.038,4.606
16,2018-11-26,10PM - 6AM,Financial District,1.05,1.0,42.173,0.036,4.749
17,2018-11-26,10PM - 6AM,Haymarket Square,1.01,1.0,41.955,0.04,4.69
18,2018-11-26,10PM - 6AM,North End,1.04,1.0,42.003,0.04,4.712
19,2018-11-26,10PM - 6AM,North Station,1.02,1.0,41.918,0.041,4.659
20,2018-11-26,10PM - 6AM,Northeastern University,1.03,1.0,41.785,0.035,4.672
21,2018-11-26,10PM - 6AM,South Station,1.02,1.0,42.14,0.034,4.778
22,2018-11-26,10PM - 6AM,Theatre District,1.03,1.0,41.835,0.035,4.735
23,2018-11-26,10PM - 6AM,West End,1.02,1.0,41.855,0.04,4.657
24,2018-11-26,3PM - 7PM,Back Bay,1.01,1.0,44.846,,5.182
25,2018-11-26,3PM - 7PM,Beacon Hill,1.02,1.0,44.754,,5.196
26,2018-11-26,3PM - 7PM,Boston University,1.04,1.0,44.762,,5.129
27,2018-11-26,3PM - 7PM,Fenway,1.04,1.0,44.926,,5.151
28,2018-11-26,3PM - 7PM,Financial District,1.03,1.0,44.976,,5.234
29,2018-11-26,3PM - 7PM,Haymarket Square,1.05,1.0,44.829,,5.22
30,2018-11-26,3PM - 7PM,North End,1.02,1.0,44.845,,5.23
31,2018-11-26,3PM - 7PM,North Station,1.04,1.0,44.855,,5.208
32,2018-11-26,3PM - 7PM,Northeastern University,1.01,1.0,44.984,,5.177
33,2018-11-26,3PM - 7PM,South Station,1.03,1.0,45.024,,5.239
34,2018-11-26,3PM - 7PM,Theatre District,1.02,1.0,44.925,,5.219
35,2018-11-26,3PM - 7PM,West End,1.01,1.0,44.835,,5.202
36,2018-11-26,6AM - 10AM,Back Bay,1.04,1.0,40.787,,1.41
37,2018-11-26,6AM - 10AM,Beacon Hill,1.03,1.0,40.785,,1.446
38,2018-11-26,6AM - 10AM,Boston University,1.06,1.0,40.695,,1.386
39,2018-11-26,6AM - 10AM,Fenway,1.02,1.0,40.613,,1.384
40,2018-11-26,6AM - 10AM,Financial District,1.01,1.0,41.71,,1.456
41,2018-11-26,6AM - 10AM,Haymarket Square,1.03,1.0,40.813,,1.445
42,2018-11-26,6AM - 10AM,North End,1.01,1.0,40.856,,1.47
43,2018-11-26,6AM - 10AM,North Station,1.02,1.0,40.773,,1.462
44,2018-11-26,6AM - 10AM,Northeastern University,1.01,1.0,40.672,,1.413
45,2018-11-26,6AM - 10AM,South Station,1.05,1.0,41.825,,1.454
46,2018-11-26,6AM - 10AM,Theatre District,1.07,1.0,40.737,,1.446
47,2018-11-26,6AM - 10AM,West End,1.04,1.0,40.719,,1.437
48,2018-11-26,7PM - 10PM,Back Bay,1.02,1.0,45.302,0.004,8.795
49,2018-11-26,7PM - 10PM,Beacon Hill,1.03,1.0,45.275,0.003,8.805
50,2018-11-26,7PM - 10PM,Boston University,1.04,1.0,45.317,0.005,8.738
51,2018-11-26,7PM - 10PM,Fenway,1.02,1.0,45.083,0.003,8.765
52,2018-11-26,7PM - 10PM,Financial District,1.04,1.0,45.878,0.0,8.845
53,2018-11-26,7PM - 10PM,Haymarket Square,1.03,1.0,45.238,,8.828
54,2018-11-26,7PM - 10PM,North End,1.03,1.0,45.282,0.003,8.835
55,2018-11-26,7PM - 10PM,North Station,1.06,1.0,45.165,0.0,8.81
56,2018-11-26,7PM - 10PM,Northeastern University,1.02,1.0,45.072,0.004,8.792
57,2018-11-26,7PM - 10PM,South Station,1.03,1.0,45.83,0.003,8.852
58,2018-11-26,7PM - 10PM,Theatre District,1.03,1.0,45.08,0.003,8.832
59,2018-11-26,7PM - 10PM,West End,1.01,1.0,45.113,0.003,8.807
60,2018-11-27,10AM - 3PM,Back Bay,1.03,1.0,44.703,0.015,5.698
61,2018-11-27,10AM - 3PM,Beacon Hill,1.04,1.0,44.713,0.018,5.758
62,2018-11-27,10AM - 3PM,Boston University,1.03,1.0,44.564,0.012,5.567
63,2018-11-27,10AM - 3PM,Fenway,1.03,1.0,44.545,0.016,5.383
